Data,xfilt,yfilt,xRaw,yRaw,pin0,pin1,pin2,pin3,pin4,
Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,193,-37,0,0,0,0,0,

Data,196,-36,200,-36,0,0,0,0,0,

Data,196,-36,194,-37,0,0,0,0,0,

Data,197,-36,201,-37,0,0,0,0,0,

Data,198,-36,194,-37,0,0,0,0,0,

Data,198,-36,200,-37,0,0,0,0,0,

Data,197,-36,192,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,194,-36,189,-37,0,0,0,0,0,

Data,192,-36,195,-37,0,0,0,0,0,

Data,191,-36,187,-37,0,0,0,0,0,

Data,190,-36,193,-37,0,0,0,0,0,

Data,190,-36,186,-37,0,0,0,0,0,

Data,190,-36,192,-37,0,0,0,0,0,

Data,189,-36,184,-37,0,0,0,0,0,

Data,188,-36,190,-37,0,0,0,0,0,

Data,186,-36,181,-37,0,0,0,0,0,

Data,183,-36,185,-37,0,0,0,0,0,

Data,180,-36,175,-37,0,0,0,0,0,

Data,177,-36,179,-37,0,0,0,0,0,

Data,174,-36,168,-37,0,0,0,0,0,

Data,171,-36,172,-37,0,0,0,0,0,

Data,168,-36,162,-37,0,0,0,0,0,

Data,164,-36,165,-37,0,0,0,0,0,

Data,161,-36,156,-37,0,0,0,0,0,

Data,159,-36,161,-37,0,0,0,0,0,

Data,157,-36,153,-37,0,0,0,0,0,

Data,156,-36,159,-37,0,0,0,0,0,

Data,155,-36,151,-37,0,0,0,0,0,

Data,154,-36,158,-37,0,0,0,0,0,

Data,154,-36,150,-37,0,0,0,0,0,

Data,154,-36,158,-37,0,0,0,0,0,

Data,154,-36,150,-37,0,0,0,0,0,

Data,154,-36,157,-37,0,0,0,0,0,

Data,155,-36,153,-37,0,0,0,0,0,

Data,157,-36,161,-37,0,0,0,0,0,

Data,158,-36,156,-37,0,0,0,0,0,

Data,158,-36,161,-37,0,0,0,0,0,

Data,158,-36,154,-37,0,0,0,0,0,

Data,158,-36,160,-37,0,0,0,0,0,

Data,157,-36,152,-37,0,0,0,0,0,

Data,156,-36,159,-37,0,0,0,0,0,

Data,155,-36,150,-37,0,0,0,0,0,

Data,154,-36,158,-37,0,0,0,0,0,

Data,154,-36,151,-37,0,0,0,0,0,

Data,155,-36,159,-37,0,0,0,0,0,

Data,156,-36,153,-37,0,0,0,0,0,

Data,156,-36,160,-37,0,0,0,0,0,

Data,156,-36,153,-37,0,0,0,0,0,

Data,156,-36,158,-37,0,0,0,0,0,

Data,155,-36,150,-37,0,0,0,0,0,

Data,154,-36,156,-37,0,0,0,0,0,

Data,152,-36,146,-37,0,0,0,0,0,

Data,150,-36,153,-37,0,0,0,0,0,

Data,149,-36,145,-37,0,0,0,0,0,

Data,148,-36,152,-37,0,0,0,0,0,

Data,148,-36,145,-37,0,0,0,0,0,

Data,149,-36,154,-37,0,0,0,0,0,

Data,150,-36,148,-37,0,0,0,0,0,

Data,152,-36,157,-37,0,0,0,0,0,

Data,155,-36,153,-37,0,0,0,0,0,

Data,156,-36,160,-37,0,0,0,0,0,

Data,156,-36,153,-37,0,0,0,0,0,

Data,157,-36,161,-37,0,0,0,0,0,

Data,158,-36,154,-37,0,0,0,0,0,

Data,158,-36,161,-37,0,0,0,0,0,

Data,158,-36,154,-37,0,0,0,0,0,

Data,158,-36,162,-37,0,0,0,0,0,

Data,158,-36,155,-37,0,0,0,0,0,

Data,158,-36,162,-37,0,0,0,0,0,

Data,158,-36,154,-37,0,0,0,0,0,

Data,158,-36,161,-37,0,0,0,0,0,

Data,158,-36,154,-37,0,0,0,0,0,

Data,158,-36,162,-37,0,0,0,0,0,

Data,158,-36,154,-37,0,0,0,0,0,

Data,157,-36,159,-37,0,0,0,0,0,

Data,155,-36,151,-37,0,0,0,0,0,

Data,154,-36,158,-37,0,0,0,0,0,

Data,154,-36,150,-37,0,0,0,0,0,

Data,154,-36,157,-37,0,0,0,0,0,

Data,153,-36,149,-37,0,0,0,0,0,

Data,153,-36,157,-37,0,0,0,0,0,

Data,154,-36,152,-37,0,0,0,0,0,

Data,155,-36,160,-37,0,0,0,0,0,

Data,157,-36,155,-37,0,0,0,0,0,

Data,160,-36,165,-37,0,0,0,0,0,

Data,162,-36,158,-37,0,0,0,0,0,

Data,162,-36,165,-37,0,0,0,0,0,

Data,162,-36,158,-37,0,0,0,0,0,

Data,162,-36,165,-37,0,0,0,0,0,

Data,162,-36,158,-37,0,0,0,0,0,

Data,162,-36,164,-37,0,0,0,0,0,

Data,160,-36,155,-37,0,0,0,0,0,

Data,158,-36,160,-37,0,0,0,0,0,

Data,158,-36,154,-37,0,0,0,0,0,

Data,158,-36,162,-37,0,0,0,0,0,

Data,158,-36,156,-37,0,0,0,0,0,

Data,159,-36,163,-37,0,0,0,0,0,

Data,160,-36,156,-37,0,0,0,0,0,

Data,160,-36,163,-37,0,0,0,0,0,

Data,159,-36,154,-37,0,0,0,0,0,

Data,158,-36,161,-37,0,0,0,0,0,

Data,157,-36,153,-37,0,0,0,0,0,

Data,156,-36,160,-37,0,0,0,0,0,

Data,156,-36,152,-37,0,0,0,0,0,

Data,156,-36,159,-37,0,0,0,0,0,

Data,155,-36,151,-37,0,0,0,0,0,

Data,155,-36,160,-37,0,0,0,0,0,

Data,156,-36,153,-37,0,0,0,0,0,

Data,157,-36,162,-37,0,0,0,0,0,

Data,158,-36,156,-37,0,0,0,0,0,

Data,160,-36,165,-37,0,0,0,0,0,

Data,162,-36,159,-37,0,0,0,0,0,

Data,162,-36,166,-37,0,0,0,0,0,

