Data,x,y,pin1,pin2,pin3,pin4,pin5,
Data,158,-37,0,0,0,0,0,

Data,164,-37,0,0,0,0,0,

Data,171,-37,0,0,0,0,0,

Data,176,-37,0,0,0,0,0,

Data,182,-37,0,0,0,0,0,

Data,186,-37,0,0,0,0,0,

Data,192,-37,0,0,0,0,0,

Data,197,-37,0,0,0,0,0,

Data,204,-37,0,0,0,0,0,

Data,212,-37,0,0,0,0,0,

Data,220,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,239,-37,0,0,0,0,0,

Data,243,-37,0,0,0,0,0,

Data,247,-37,0,0,0,0,0,

Data,248,-37,0,0,0,0,0,

Data,251,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,254,-37,0,0,0,0,0,

Data,251,-37,0,0,0,0,0,

Data,248,-37,0,0,0,0,0,

Data,248,-37,0,0,0,0,0,

Data,249,-37,0,0,0,0,0,

Data,252,-37,0,0,0,0,0,

Data,249,-37,0,0,0,0,0,

Data,251,-37,0,0,0,0,0,

Data,251,-37,0,0,0,0,0,

Data,254,-37,0,0,0,0,0,

Data,254,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,255,-37,0,0,0,0,0,

Data,255,-37,0,0,0,0,0,

Data,253,-37,0,0,0,0,0,

Data,253,-37,0,0,0,0,0,

Data,250,-37,0,0,0,0,0,

Data,249,-37,0,0,0,0,0,

Data,246,-37,0,0,0,0,0,

Data,247,-37,0,0,0,0,0,

Data,246,-37,0,0,0,0,0,

Data,247,-37,0,0,0,0,0,

Data,247,-37,0,0,0,0,0,

Data,251,-37,0,0,0,0,0,

Data,252,-37,0,0,0,0,0,

Data,256,-37,0,0,0,0,0,

Data,254,-37,0,0,0,0,0,

Data,254,-37,0,0,0,0,0,

Data,250,-37,0,0,0,0,0,

Data,249,-37,0,0,0,0,0,

Data,246,-37,0,0,0,0,0,

Data,247,-37,0,0,0,0,0,

Data,244,-37,0,0,0,0,0,

Data,245,-37,0,0,0,0,0,

Data,243,-37,0,0,0,0,0,

Data,244,-37,0,0,0,0,0,

Data,241,-37,0,0,0,0,0,

Data,242,-37,0,0,0,0,0,

Data,240,-37,0,0,0,0,0,

Data,242,-37,0,0,0,0,0,

Data,240,-37,0,0,0,0,0,

Data,244,-37,0,0,0,0,0,

Data,243,-37,0,0,0,0,0,

Data,246,-37,0,0,0,0,0,

Data,242,-37,0,0,0,0,0,

