Data,x,y,b1,b2,b3,b4,b5,
Data,19,-36,0,0,0,0,0,

Data,2,-36,0,0,0,0,0,

Data,12,-36,0,0,0,0,0,

Data,-5,-36,0,0,0,0,0,

Data,7,-36,0,0,0,0,0,

Data,-7,-36,0,0,0,0,0,

Data,5,-36,0,0,0,0,0,

Data,-9,-36,0,0,0,0,0,

Data,4,-36,0,0,0,0,0,

Data,-10,-36,0,0,0,0,0,

Data,1,-36,0,0,0,0,0,

Data,-12,-36,0,0,0,0,0,

Data,0,-36,0,0,0,0,0,

Data,-20,-36,0,0,0,0,0,

Data,-12,-36,0,0,0,0,0,

Data,-32,-36,0,0,0,0,0,

Data,-23,-36,0,0,0,0,0,

Data,-42,-36,0,0,0,0,0,

Data,-29,-36,0,0,0,0,0,

Data,-46,-36,0,0,0,0,0,

Data,-31,-36,0,0,0,0,0,

Data,-44,-36,0,0,0,0,0,

Data,-29,-36,0,0,0,0,0,

Data,-40,-36,0,0,0,0,0,

Data,-26,-36,0,0,0,0,0,

Data,-39,-36,0,0,0,0,0,

Data,-25,-36,0,0,0,0,0,

Data,-41,-36,0,0,0,0,0,

Data,-29,-36,0,0,0,0,0,

Data,-43,-36,0,0,0,0,0,

Data,-29,-36,0,0,0,0,0,

Data,-48,-36,0,0,0,0,0,

Data,-34,-36,0,0,0,0,0,

Data,-51,-36,0,0,0,0,0,

Data,-35,-36,0,0,0,0,0,

Data,-48,-36,0,0,0,0,0,

Data,-30,-36,0,0,0,0,0,

Data,-43,-36,0,0,0,0,0,

Data,-25,-36,0,0,0,0,0,

Data,-32,-36,0,0,0,0,0,

Data,-11,-36,0,0,0,0,0,

Data,-16,-36,0,0,0,0,0,

Data,8,-36,0,0,0,0,0,

Data,8,-36,0,0,0,0,0,

Data,38,-36,0,0,0,0,0,

Data,41,-36,0,0,0,0,0,

Data,68,-36,0,0,0,0,0,

Data,71,-36,0,0,0,0,0,

Data,102,-36,0,0,0,0,0,

Data,111,-36,0,0,0,0,0,

Data,144,-36,0,0,0,0,0,

Data,150,-36,0,0,0,0,0,

Data,179,-36,0,0,0,0,0,

Data,178,-36,0,0,0,0,0,

Data,200,-36,0,0,0,0,0,

Data,198,-36,0,0,0,0,0,

Data,219,-36,0,0,0,0,0,

Data,216,-36,0,0,0,0,0,

Data,235,-36,0,0,0,0,0,

Data,235,-36,0,0,0,0,0,

Data,255,-36,0,0,0,0,0,

Data,249,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,255,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,252,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,246,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,241,-36,0,0,0,0,0,

Data,253,-36,0,0,0,0,0,

Data,234,-36,0,0,0,0,0,

Data,245,-36,0,0,0,0,0,

Data,224,-36,0,0,0,0,0,

Data,234,-36,0,0,0,0,0,

Data,217,-36,0,0,0,0,0,

Data,226,-36,0,0,0,0,0,

Data,206,-36,0,0,0,0,0,

Data,218,-36,0,0,0,0,0,

Data,198,-36,0,0,0,0,0,

Data,211,-36,0,0,0,0,0,

Data,192,-36,0,0,0,0,0,

Data,204,-36,0,0,0,0,0,

Data,184,-36,0,0,0,0,0,

Data,197,-36,0,0,0,0,0,

Data,177,-36,0,0,0,0,0,

Data,189,-36,0,0,0,0,0,

Data,168,-36,0,0,0,0,0,

Data,179,-36,0,0,0,0,0,

Data,157,-36,0,0,0,0,0,

Data,169,-36,0,0,0,0,0,

Data,150,-36,0,0,0,0,0,

Data,160,-36,0,0,0,0,0,

Data,141,-36,0,0,0,0,0,

Data,152,-36,0,0,0,0,0,

Data,133,-36,0,0,0,0,0,

Data,143,-36,0,0,0,0,0,

Data,121,-36,0,0,0,0,0,

Data,129,-36,0,0,0,0,0,

Data,107,-36,0,0,0,0,0,

Data,117,-36,0,0,0,0,0,

Data,98,-36,0,0,0,0,0,

Data,110,-36,0,0,0,0,0,

Data,93,-36,0,0,0,0,0,

Data,104,-36,0,0,0,0,0,

Data,81,-36,0,0,0,0,0,

Data,91,-36,0,0,0,0,0,

Data,71,-36,0,0,0,0,0,

Data,83,-36,0,0,0,0,0,

Data,61,-36,0,0,0,0,0,

Data,71,-36,0,0,0,0,0,

Data,50,-36,0,0,0,0,0,

Data,60,-36,0,0,0,0,0,

Data,38,-36,0,0,0,0,0,

Data,48,-36,0,0,0,0,0,

